3,86666739370199    3,78650380707649    0
-1,38541255679066    -0,914707474973451    0
-2,78601953518902    1,72384192550998    0
-3,27269906996673    -1,61553058066174    0
1,29434599722488    -4,73144542028475    0
-1,11389050693365    4,26871690944    0
-4,25563244966107    -4,35730931063057    0
3,57743716182326    -0,495739809933928    0
2,71016178874888    3,98886549530134    0
-6,94347328935442E-39    -3,26564038091603    0
-2,8430881659455    -2,2673579659735E-308    0
-3,03274563660552E-154    -3,14185784887558    0
-2,28557242885318    -0,770070162954791    0
4,65570080035372    3,40021327529113    0
3,72773145268162    -2,17577314434156    0
2,68349399216636    -1,98233662257779    0
-2,5574631861213    -3,55168552787896E-154    0
2,28111577555603    -0,456757226705903    0
-3,60499861771428    0,114691411905596    0
3,26015369130374    -4,26896593316854    0
1,07789824231428E-09    -3,79822169374592    0
4,06494219942619    -1,92051017697852E-77    0
2,99771852623322E-77    1,7990640566725E-77    0
-3,67950593065807    -0,390326256198832    0
-2,03068956079532    -1,98519467664283    0
1,01656177117797    -4,72376915825794    0
3,17489398970325    -0,926488214241656    0
1,01656197379302    4,72372518876913    0
1,1134905351597    0,346923366341219    0
-0,0127696153623237    -0,564860847151729    0
1,1134904798333    0,346918070850956    0
1,57119219020302    -0,205701325337118    0
3,96488041187062    -0,0279243521177636    0
2,63696621062093    -4,33499933076561    0
-1,35083905797683E-309    4,85031594502748E-10    0
-4,10537997315077    2,02051953123452    0
1,14055502869688    -0,205701325168827    0
4,2419076354401    5,12810595319005E-05    0
2,27968492012499    -0,205701325221375    0
2,05895701214928    4,85031594502748E-10    0
4,1679397642641    3,99605641560445    0
1,15851391202621E-38    -0,0820743960641269    0
-4,82065439901819    2,15302227441174    0
2,55268998672601    4,38776612719436    0
-1,26407772099492    4,55930336744365    0
1,11849918606229    -0,456506693896914    0
5,61140712605128E-05    -3,6276054659991E-05    0
-2,55265153139727    -4,38776618808887    0
1,10273797898346    6,51458090782921E-05    0
4,1407634641831    -7,38739434379116E-251    0
-0,0344433100123168    0,270778194212757    0
2,61418863191934    2,04156565450423    0
1,09562437267381    -3,07413154186981E-77    0
0,492352717363085    -4,52293790546702    0
-2,19665232477294    0,424891957245329    0
-1,19224542018585    -0,424840552435985    0
-2,19665232477296    -0,424819424475251    0
-2,9556042576163    -3,79242255075469    0
4,30059877967297E-68    1,71448771151369    0
1,24560818300648    -0,154995162163191    0
0,507113458766657    0,230091260332508    0
-1,75595083342344    1,11391339140275    0
2,64793824614064E-308    -4,39692890242934    0
-1,1917504821395    -0,42484845149334    0
-2,6851698103003E-19    -4,86055001372851    0
3,55576812638197E-306    -1,92009975221944    0
2,19534440859697    3,14006301397691    0
-0,49661398035927    -1,73349443514466    0
3,89546880912756    -4,32522901212436E-270    0
-1,77526756231436    2,62550516679918    0
2,65102509993406E-308    -3,48871580742817    0
-4,40443590349479    -2,90268520261416    0
-3,0239569255001    4,39724560501077    0
-4,95326398458952    -3,10608655311274    0
2,65644382576293    -4,96211251394338    0
-4,85308618023081    -1,14249734058329    0
1,16855649705593E-19    0,521183744774949    0
-0,171756223724927    7,14743557091857E-39    0
1,0253611277481    -0,112741097187322    0
-2,98230442739571    3,13276540239965    0
0,556291341700308    -0,0108472327011873    0
4,85448300831694    1,99572708545776E-19    0
-1,21267435256873E-19    -2,37054860625585E-77    0
4,85546015353093    0,932392678571227    0
2,37834431520904    -1,76344492897567    0
1,02536303758967    -2,68264754283414    0
2,48818916861057    -3,91433829391149    0
2,82636799693678E-154    -4,42589401718038    0
2,84438344066153E-299    -4,22837866247278    0
-3,07547152418433    -3,77541649098564    0
-1,66537213111176    -0,0108472299778729    0
-4,95315503696178    -0,102872562176954    0
-0,0120135841388881    -2,90959925696073    0
-2,99525031246715E-77    3,90822609520453    0
-2,38052644400791E-19    4,7304241793761E-05    0
-1,6945087479664E-19    -0,222621712563126    0
-4,72782261171907    -4,13635301189937    0
3,87105037370071    1,11466129093747    0
-0,856960614145249    -0,596784185340556    0
2,77631792136297    -1,76455693713246    0
-1,27776109714113    -3,91994998004342    0
-1,69105490485794    2,6304132154353    0
-3,88367450261388    -4,05085362540611    0
-2,40003795223582    2,69857825529641E-19    0
-3,84952518310031    3,58371157228911    0
-2,47807860952281    1,18319062915875    0
-2,9151350039239E-77    -2,23867233968829E-77    0
-1,70331183030449    0,533527492328327    0
-4,72782262977929    3,07855616547677    0
3,84954509584007    3,76775587385881    0
-2,11526042968382E-19    -2,37636492301043E-77    0
3,29335563629156    0,144124460594907    0
1,92657741531463    -2,05541768785107    0
-9,08455531919328E-10    2,83880074623513    0
-4,47187352409241    -1,25082114993259    0
-0,059964267166059    2,47517215465913    0
7,3496622199357E-152    -4,91205238733071    0
1,15010518711718E-09    2,15992574464169E-308    0
4,59317916265089    0,258763059049116    0
3,45874684829767    0,254916919052804    0
-3,97839517811472    3,57510640494504    0
2,44960546598455    1,73585079196411E-270    0
3,84933297467524    -0,147295312262767    0
0,0185834462683981    0,869639747198133    0
2,10618245510742    -0,997359060686475    0
-4,70614590651826    0,248460695630062    0
-2,43745248198572    2,16692675041867    0
-1,84028798398941    3,55971183560775    0
-3,8739759189756    -4,05933256216912    0
2,92420600685282    1,71251845700987    0
1,0254218811314    2,31363543300593    0
2,87940055592381E-18    4,96327578513144    0
0,0120201790881662    2,66674408709639E-193    0
0,08303206114128    1,4304013451362E-307    0
0,0570672168674776    -4,82563657170133    0
-0,513347070955877    -1,04720008497849E-38    0
4,21281425235108    -3,05238224409973    0
2,55608086394858E-76    1,22942459017357E-38    0
-2,09206253620426    -3,56992770581687    0
2,44725268429498    1,03951967541499E-38    0
4,26036006380739    -1,91061406646547    0
4,12002086132766    1,70878532189354    0
-3,57712001473509    0,991847201246696    0
0,626776680775148    -4,64538884341076E-310    0
1,86880716766562    0,269813367832665    0
0,340232357770741    -0,128872345899214    0
-3,57708882614406    -0,991847201246688    0
-2,4319433362372    -4,19764091685417    0
3,58368684684531    0,97293995552961    0
3,47673314027355    -0,704608504993857    0
-4,18876706336837    1,52064790051669E-250    0
-0,0086846560933414    4,44871891167281    0
0,502716470888771    -2,0027989213585    0
0,517680936391453    -0,595851873833885    0
-0,20218035313632    3,88923897821886    0
-0,775784936011589    4,66100195167597    0
1,35439561470951    -3,21763168730779    0
-0,452290063468867    -0,416157471853269    0
4,9855763765623    -2,3111649608701    0
-0,0587614579035148    1,9262390915253    0
2,36781970484611E-154    2,91345359145118    0
-4,69549043530612    1,46725863519463    0
-0,100115096300151    0,0140390842568086    0
-3,539937010609E-77    -0,586299266817381    0
-4,28520155036956    0,348575018253908    0
-3,54835557003348E-77    0,588320999434985    0
2,03855032997571E-154    4,29817050468924    0
3,98486782645798    -4,64409856530197    0
-4,44592595074602    -4,11388909409337    0
3,98486790387903    -2,03360079221872    0
0,0445221280607941    -1,54958224328357    0
2,01748252781495    -0,741958609808368    0
3,47057275594475E-05    3,56351505582564    0
-1,14205217742587    0,135021589212625    0
-0,765967436957158    1,37790239803772E-09    0
0,201531640801186    -0,60276580552889    0
-4,87199433538965    -4,55614642219437    0
3,97893425192634    -3,35654263754324E-09    0
0,0347337956771584    1,04016849047099E-34    0
6,37366381139398E-20    -1,22876028885846    0
3,37379618434344    -3,96831257404359E-40    0
0,0220849641323635    3,90651869142971    0
-1,65711565419996    4,19740491381394    0
-9,41241955338772E-39    0,261421884383239    0
-4,48054216311755    1,46150587037352    0
-3,0096243571515    -4,23002174464074    0
1,38746520918249    1,52519577949221    0
0,0297387931419896    -0,580225998580159    0
